username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
UPI;2017-08-31 09:38;2;1;"As Texas recovers from hurricane, Harvey moves north as tropical depression https://www. upi.com/Top_News/US/20 17/08/31/As-Texas-recovers-from-hurricane-Harvey-moves-north-as-tropical-depression/8111504188050/?utm_source=dlvr.it&utm_medium=twitter …";;;;"903265647831924736";https://twitter.com/UPI/status/903265647831924736
BiancaSavonrola;2017-08-31 09:35;0;0;"Oil prices bounce back after Harvey downgraded to tropical depression http:// bit.ly/2vIuV8x via @josephjett pic.twitter.com/21hfYCMJRj";;@josephjett;;"903264920879300610";https://twitter.com/BiancaSavonrola/status/903264920879300610
wbaltv11;2017-08-31 09:35;0;0;"Harvey downgraded to tropical depression ; dangers still loom http:// bit.ly/2glpea7 pic.twitter.com/SFkkrosJQx";;;;"903264897487826944";https://twitter.com/wbaltv11/status/903264897487826944
WGAL;2017-08-31 09:35;0;1;"Harvey downgraded to tropical depression ; dangers still loom http:// bit.ly/2eskjHI pic.twitter.com/QxjWWghR0K";;;;"903264895965200384";https://twitter.com/WGAL/status/903264895965200384
SimplexBreaking;2017-08-31 09:33;0;0;"As Texas recovers from hurricane, Harvey moves north as tropical depression http:// ift.tt/2wVm2Ns";;;;"903264564862701568";https://twitter.com/SimplexBreaking/status/903264564862701568
zyiteblog;2017-08-31 09:31;0;0;"Oil prices bounce back after Harvey downgraded to tropical depression http:// ow.ly/aSFa50dLEXu";;;;"903263909741813762";https://twitter.com/zyiteblog/status/903263909741813762
GPM_2015;2017-08-31 09:30;0;0;"New Post Chemical Plant Explodes, Death Toll Rises as Harvey 's Grim Aftermath Unfolds Now a tropical depression ... http:// fb.me/7kKEYb0k6";;;;"903263829701701632";https://twitter.com/GPM_2015/status/903263829701701632
WMTWTV;2017-08-31 09:30;0;0;"Harvey downgraded to tropical depression ; dangers still loom http:// bit.ly/2glkWzI pic.twitter.com/MqXWfuWOg6";;;;"903263651829882880";https://twitter.com/WMTWTV/status/903263651829882880
besttopicin;2017-08-31 09:25;0;0;"Oil prices bounce back after Harvey downgraded to tropical depression https:// goo.gl/fb/irfzFf";;;;"903262377759703040";https://twitter.com/besttopicin/status/903262377759703040
newsparot;2017-08-31 09:24;0;0;"Harvey downgraded to tropical depression ; dangers still loom http:// newsparot.com/harvey-downgra ded-to-tropical-depression-dangers-still-loom/ …";;;;"903262214299291648";https://twitter.com/newsparot/status/903262214299291648
BBE_Investments;2017-08-31 09:23;1;0;"Oil prices bounce back after Harvey downgraded to tropical depression https:// upi.com/6623897t via @crudeoilprices #OOTT";;@crudeoilprices;#OOTT;"903261963232223232";https://twitter.com/BBE_Investments/status/903261963232223232
duesing;2017-08-31 09:21;0;0;"Harvey downgraded to Tropical Depression http:// dlvr.it/Pjtrqc pic.twitter.com/hFqpmlfa3O";;;;"903261367263563776";https://twitter.com/duesing/status/903261367263563776
KnowYourLeaks;2017-08-31 09:19;0;0;"Harvey Weakens To Tropical Depression (pls RT↺ ) http://www. 1clickdaily.com/2601176";;;;"903260859249684483";https://twitter.com/KnowYourLeaks/status/903260859249684483
ZyiteGadgets;2017-08-31 09:15;0;0;"Oil prices bounce back after Harvey downgraded to tropical depression http:// ow.ly/MtUG50dLE69";;;;"903260076974239744";https://twitter.com/ZyiteGadgets/status/903260076974239744
salespreeCOM;2017-08-31 09:15;0;0;"Oil prices bounce back after Harvey downgraded to tropical depression http:// salespree.com/blog/index.php /2017/08/31/oil-prices-bounce-back-after-harvey-downgraded-to-tropical-depression/ …";;;;"903260033462525954";https://twitter.com/salespreeCOM/status/903260033462525954
BKaysac;2017-08-31 09:15;0;0;"geoengineers hijack a small tropical depression in the Atlantic and transform it into Cat 4 super-rainmaking Harvey http:// stateofthenation2012.com/?p=82533";;;;"903259997932544001";https://twitter.com/BKaysac/status/903259997932544001
prezenty;2017-08-31 09:15;0;0;"#maskotki znajdź wymażoną maskotkę http:// kursypolska.pl/search/maskotki Tropical Depression Harvey pic.twitter.com/jdLh26k6qY";;;#maskotki;"903259843913539585";https://twitter.com/prezenty/status/903259843913539585
SimplexBreaking;2017-08-31 09:12;0;0;"Oil prices bounce back after Harvey downgraded to tropical depression http:// ift.tt/2vIiN7z";;;;"903259269725913088";https://twitter.com/SimplexBreaking/status/903259269725913088
UPIbusiness;2017-08-31 09:11;0;0;"Oil prices bounce back after Harvey downgraded to tropical depression https://www. upi.com/Energy-News/20 17/08/31/Oil-prices-bounce-back-after-Harvey-downgraded-to-tropical-depression/7741504186501/?utm_source=dlvr.it&utm_medium=twitter … pic.twitter.com/2VRVHEuUwT";;;;"903258990917828609";https://twitter.com/UPIbusiness/status/903258990917828609
twosheeep1;2017-08-31 09:11;0;0;"Oil prices bounce back after Harvey downgraded to tropical depression - http:// twosheeep.com/archives/451959 pic.twitter.com/SrMWNXziy1";;;;"903258952607125504";https://twitter.com/twosheeep1/status/903258952607125504
ENashvillePatch;2017-08-31 09:11;0;0;"Tropical Depression Harvey In Tennessee: Nashville's Flood-Prone Areas http:// dlvr.it/PjtkSK pic.twitter.com/cPvCI63Utv";;;;"903258854078668801";https://twitter.com/ENashvillePatch/status/903258854078668801
SNashvillePatch;2017-08-31 09:11;0;1;"Tropical Depression Harvey In Tennessee: Nashville's Flood-Prone Areas http:// dlvr.it/PjtkRP pic.twitter.com/NR9hHnWfCC";;;;"903258841986473984";https://twitter.com/SNashvillePatch/status/903258841986473984
FXS_Finance_EN;2017-08-31 09:08;0;1;"Oil prices bounce back after Harvey downgraded to tropical depression #UPI .com - News #Commodities #All Finance https://www. dukascopy.com/refpro/in.php? aHR0cHM6Ly93d3cuZHVrYXNjb3B5LmNvbS9meHNwaWRlci9lbi81MDQxODg0NzYzNTQ0ODE0NTI5Lz91dG1fc291cmNlPXR3aXR0ZXImdXRtX21lZGl1bT1zb2NpYWwmdXRtX2NhbXBhaWduPWZ4c3BpZGVyJTIwdHdpdHRlciUyMHBvc3RpbmcKc3BwLXR3LVNwaWRFTg== …";;;#UPI #Commodities #All;"903258249268531202";https://twitter.com/FXS_Finance_EN/status/903258249268531202
