"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"4293","RT @weatherchannel: Harvey has weakened to a depression, but catastrophic flooding continues in southeast Texas and southwest Louisiana: ht…",FALSE,0,NA,2017-08-31 00:28:13,FALSE,NA,"903051765410619392",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","MaryyMaribel",161,TRUE,FALSE,NA,NA
"4294","RT @AP: BREAKING: National Hurricane Center downgrades Harvey to a tropical depression but says catastrophic flooding continues.",FALSE,0,NA,2017-08-31 00:28:10,FALSE,NA,"903051755004428288",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","cdoherty13",619,TRUE,FALSE,NA,NA
"4295","Harvey weakens to a tropical depression https://t.co/oZ66nLoh3w",FALSE,0,NA,2017-08-31 00:28:09,FALSE,NA,"903051749052874752",NA,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","FrumDiet",0,FALSE,FALSE,NA,NA
"4296","RT @BuzzFeedNews: Latest on Harvey:
• Downgraded to a tropical depression
• Threat from flooding remains 
• At least 35 people killed https…",FALSE,0,NA,2017-08-31 00:28:07,FALSE,NA,"903051740114817024",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","SwannDives",20,TRUE,FALSE,NA,NA
"4297","RT @weatherchannel: Harvey has weakened to a depression, but catastrophic flooding continues in southeast Texas and southwest Louisiana: ht…",FALSE,0,NA,2017-08-31 00:28:06,FALSE,NA,"903051734645436417",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","KimberlyCopus",161,TRUE,FALSE,NA,NA
"4298","RT @USATODAY: #BREAKING Harvey has been downgraded to a tropical depression, National Weather Service says https://t.co/zDVC3crsE7",FALSE,0,NA,2017-08-31 00:28:04,FALSE,NA,"903051727351504896",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","LMSNaomi",78,TRUE,FALSE,NA,NA
"4299","RT @Jerusalem_Post: #BREAKING: Harvey weakens to a tropical depression https://t.co/rnJs3aYdlN https://t.co/1XTES4Qr6C",FALSE,0,NA,2017-08-31 00:28:04,FALSE,NA,"903051726693040128",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","SDrinsinger",7,TRUE,FALSE,NA,NA
"4300","RT @AP: BREAKING: National Hurricane Center downgrades Harvey to a tropical depression but says catastrophic flooding continues.",FALSE,0,NA,2017-08-31 00:28:03,FALSE,NA,"903051722062487552",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ArgoJournal",619,TRUE,FALSE,NA,NA
"4301","RT @USATODAY: #BREAKING Harvey has been downgraded to a tropical depression, National Weather Service says https://t.co/zDVC3crsE7",FALSE,0,NA,2017-08-31 00:28:02,FALSE,NA,"903051718275067904",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","blindspotbull",78,TRUE,FALSE,NA,NA
"4302","UPDATED: #Harvey is now a tropical depression, at least 38 dead, Texas &amp; Louisiana hit w/ 'catastrophic' flooding… https://t.co/ociMmQy2Gg",FALSE,0,NA,2017-08-31 00:28:01,FALSE,NA,"903051713472585728",NA,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","iashleyrichards",0,FALSE,FALSE,NA,NA
"4303","RT @7News: #BREAKING: National Hurricane Center downgrades Harvey to a tropical depression but says catastrophic flooding continues (via @A…",FALSE,0,NA,2017-08-31 00:28:00,FALSE,NA,"903051712667189250",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","AAlbano",6,TRUE,FALSE,NA,NA
"4304","RT @USATODAY: #BREAKING Harvey has been downgraded to a tropical depression, National Weather Service says https://t.co/zDVC3crsE7",FALSE,0,NA,2017-08-31 00:28:00,FALSE,NA,"903051710016475140",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","kchappellnews",78,TRUE,FALSE,NA,NA
"4305","RT @businessinsider: UPDATED: #Harvey is now a tropical depression, at least 38 dead, Texas &amp; Louisiana hit w/ 'catastrophic' flooding http…",FALSE,0,NA,2017-08-31 00:27:58,FALSE,NA,"903051702911344640",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","michaelreilly25",38,TRUE,FALSE,NA,NA
